,Time[sec],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],Altitude[ft],Bank_Angle[deg],Elevation_Angle[deg],Heading_Angle[deg],Gust_xf[ft/s],Gust_yf[ft/s],Gust_zf[ft/s]
0,0.0,15.85731878709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,15.8554282946,0.0,1.49319850172,0.0,-0.1009072419456,0.0,0.7926868832333,0.0,4760.961468009,0.0,-0.1170415793522,0.0,0.0,0.0,0.0
2,0.1,15.88543675661,0.0,2.880286086676,0.0,-0.2166876056166,0.0,1.585360189946,0.0,4760.847367149,0.0,-0.5728255072811,0.0,0.0,0.0,0.0
3,0.15,15.96582355313,0.0,4.175881612905,0.0,-0.3303560534128,0.0,2.378352893859,0.0,4760.657545509,0.0,-1.356103617232,0.0,0.0,0.0,0.0
4,0.2,16.04375906061,0.0,5.307240656762,0.0,-0.4652820812763,0.0,3.170668099127,0.0,4760.392990841,0.0,-2.481279890654,0.0,0.0,0.0,0.0
5,0.25,15.89700997057,0.0,5.942125981115,0.0,-0.7063605217552,0.0,3.952825057358,0.0,4760.064245479,0.0,-4.127858876908,0.0,0.0,0.0,0.0
6,0.3,15.6512080343,0.0,6.046369739247,0.0,-1.030317865426,0.0,4.710100177071,0.0,4759.691472947,0.0,-6.606039410158,0.0,0.0,0.0,0.0
7,0.35,15.58153218627,0.0,5.895438843945,0.0,-1.348351259471,0.0,5.438876238163,0.0,4759.283684568,0.0,-10.02087358016,0.0,0.0,0.0,0.0
8,0.4,15.82702213828,0.0,5.673676941576,0.0,-1.608762718546,0.0,6.144574075349,0.0,4758.836683006,0.0,-14.2736397292,0.0,0.0,0.0,0.0
9,0.45,16.43965258284,0.0,5.456456151655,0.0,-1.787270094894,0.0,6.835854201308,0.0,4758.339024384,0.0,-19.15756028174,0.0,0.0,0.0,0.0
10,0.5,17.38006184513,0.0,5.209568567177,0.0,-1.890942933861,0.0,7.520606566188,0.0,4757.777729019,0.0,-24.44083577673,0.0,0.0,0.0,0.0
11,0.55,18.54797469363,0.0,4.839495697951,0.0,-1.9482113957,0.0,8.203540113129,0.0,4757.143417305,0.0,-29.94756539451,0.0,0.0,0.0,0.0
12,0.6,19.84919559215,0.0,4.26735925285,0.0,-1.983990945075,0.0,8.88640364979,0.0,4756.431690543,0.0,-35.58334820886,0.0,0.0,0.0,0.0
13,0.65,21.2218436529,0.0,3.452095804591,0.0,-2.009243848738,0.0,9.569492081243,0.0,4755.641175857,0.0,-41.3052628635,0.0,0.0,0.0,0.0
14,0.7,22.62162260786,0.0,2.375559565003,0.0,-2.026530132971,0.0,10.25266312441,0.0,4754.771521195,0.0,-47.08793728536,0.0,0.0,0.0,0.0
15,0.75,24.00769312774,0.0,1.030583730124,0.0,-2.035959866806,0.0,10.93566909589,0.0,4753.822593803,0.0,-52.90893100517,0.0,0.0,0.0,0.0
16,0.8,25.33918701044,0.0,-0.5818967767747,0.0,-2.037256041762,0.0,11.61822352972,0.0,4752.794308027,0.0,-58.74535738608,0.0,0.0,0.0,0.0
17,0.85,26.57607937739,0.0,-2.453032232421,0.0,-2.030149017794,0.0,12.30001365408,0.0,4751.686603364,0.0,-64.57351907428,0.0,0.0,0.0,0.0
18,0.9,27.68079059216,0.0,-4.566090753817,0.0,-2.014344184893,0.0,12.98070427093,0.0,4750.499444236,0.0,-70.36897556018,0.0,0.0,0.0,0.0
19,0.95,28.61500449634,0.0,-6.891831477168,0.0,-1.987083412738,0.0,13.65987759427,0.0,4749.232871962,0.0,-76.10485935055,0.0,0.0,0.0,0.0
20,1.0,29.2309657948,0.0,-9.240554090373,0.0,-1.889977591744,0.0,14.33496323164,0.0,4747.888577495,0.0,-81.70316952116,0.0,0.0,0.0,0.0
21,1.05,28.97141746982,0.0,-10.43039006988,0.0,-1.420117963447,0.0,14.97794370649,0.0,4746.487207072,0.0,-86.55333706564,0.0,0.0,0.0,0.0
22,1.1,28.50127116281,0.0,-10.19160090671,0.0,-0.7317420654185,0.0,15.54069953717,0.0,4745.068537004,0.0,-89.6348323712,0.0,0.0,0.0,0.0
23,1.15,28.79174608774,0.0,-9.6668094113,0.0,-0.2339585959624,0.0,16.02687323444,0.0,4743.635892749,180.0,-89.03534311631,180.0,0.0,0.0,0.0
24,1.2,29.79166522657,0.0,-9.230959119211,0.0,0.03514067449936,0.0,16.46955937304,0.0,4742.164328981,180.0,-88.79262566371,180.0,0.0,0.0,0.0
25,1.25,31.18577734474,0.0,-8.838545105441,0.0,0.1675755666775,0.0,16.8924679597,0.0,4740.63270431,180.0,-89.10500377504,180.0,0.0,0.0,0.0
26,1.3,32.75643256073,0.0,-8.415488641347,0.0,0.2354657092001,0.0,17.30685839044,0.0,4739.030030937,180.0,-89.69216169968,180.0,0.0,0.0,0.0
27,1.35,34.3962673829,0.0,-7.925175387441,0.0,0.2753852783937,0.0,17.71726067773,0.0,4737.351724183,0.0,-89.57185584353,0.0,0.0,0.0,0.0
28,1.4,36.05821124595,0.0,-7.354090419694,0.0,0.303021648675,0.0,18.12536956734,0.0,4735.596154543,0.0,-88.74138538835,0.0,0.0,0.0,0.0
29,1.45,37.72171045675,0.0,-6.69824195382,0.0,0.3245316163917,0.0,18.53181551087,0.0,4733.762886227,0.0,-87.84138168106,0.0,0.0,0.0,0.0
30,1.5,39.37668875286,0.0,-5.957265051488,0.0,0.3421931706891,0.0,18.93685742216,0.0,4731.851933001,0.0,-86.88557903211,0.0,0.0,0.0,0.0
31,1.55,41.01699048967,0.0,-5.132464551886,0.0,0.3568048106243,0.0,19.34063190767,0.0,4729.863472272,0.0,-85.88365321043,0.0,0.0,0.0,0.0
32,1.6,42.63794703508,0.0,-4.226281944672,0.0,0.3686271099771,0.0,19.74323786324,0.0,4727.797741471,0.0,-84.84389575828,0.0,0.0,0.0,0.0
33,1.65,44.23556642829,0.0,-3.242176025116,0.0,0.3777356480815,0.0,20.14476369671,0.0,4725.655002126,0.0,-83.77416552577,0.0,0.0,0.0,0.0
34,1.7,45.80632344649,0.0,-2.184591113495,0.0,0.3841491928009,0.0,20.54529547305,0.0,4723.435527873,0.0,-82.6822036852,0.0,0.0,0.0,0.0
35,1.75,47.34715870257,0.0,-1.058925119398,0.0,0.3878751408516,0.0,20.94491897574,0.0,4721.13960061,0.0,-81.57572004884,0.0,0.0,0.0,0.0
36,1.8,48.85554258821,0.0,0.1285197286038,0.0,0.3889253079905,0.0,21.34371990722,0.0,4718.76750929,0.0,-80.46239900638,0.0,0.0,0.0,0.0
37,1.85,50.32955137452,0.0,1.370603013368,0.0,0.387321193962,0.0,21.74178354311,0.0,4716.31954954,0.0,-79.34987786726,0.0,0.0,0.0,0.0
38,1.9,51.76793575054,0.0,2.659424563943,0.0,0.3830950977535,0.0,22.13919423586,0.0,4713.796023543,0.0,-78.24571681062,0.0,0.0,0.0,0.0
39,1.95,53.17017201485,0.0,3.98640778625,0.0,0.3762882166342,0.0,22.53603489746,0.0,4711.197240095,0.0,-77.15736981231,0.0,0.0,0.0,0.0
40,2.0,54.53648770468,0.0,5.342371799651,0.0,0.3669432824126,0.0,22.93238655705,0.0,4708.523515102,0.0,-76.09216775558,0.0,0.0,0.0,0.0
