,index,Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Enrollment_Month,Enrollment_Year,Enrollment_Day,Num_Users_Total,TotalVisitsWeb,TotalMntMeat,TotalMntWine,TotalMntFruit,Average_Uses,Average_Meat,Average_Wine,Average_Fruit
815,1503,0,1985,Graduation,Married,70951.0,0,0,2013-04-05,66,239,10,554,254,87,54,1,3,4,9,1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,4,2013,5,816,4881,152287,296040,24517,5.981617647058823,186.62622549019608,362.79411764705884,30.045343137254903
2074,1,1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,6,2014,15,2075,11187,349691,644532,54830,5.3913253012048195,168.5257831325301,310.6178313253012,26.424096385542168
153,1956,9,1975,Master,Single,46098.0,1,1,2012-08-18,86,57,0,27,0,0,36,4,3,2,2,8,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,8,2012,18,154,1015,26450,55650,4487,6.590909090909091,171.75324675324674,361.3636363636364,29.136363636363637
1157,1311,13,1947,PhD,Widow,25358.0,0,1,2013-07-22,57,19,0,5,0,0,8,2,1,0,3,6,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,7,2013,22,1158,6711,209216,393050,32184,5.795336787564767,180.67012089810018,339.4214162348877,27.792746113989637
1022,1834,17,1971,PhD,Married,60491.0,0,1,2013-06-09,81,637,47,237,12,19,76,4,6,11,7,5,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,6,2013,9,1023,5969,191366,357960,29314,5.8347996089931575,187.0635386119257,349.9120234604106,28.654936461388075
522,2052,20,1965,2n Cycle,Married,46891.0,0,1,2013-01-09,91,43,12,23,29,15,61,1,2,1,4,4,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,1,2013,9,523,3273,101370,200288,15606,6.258126195028681,193.82409177820267,382.9598470363289,29.83938814531549
42,2237,22,1976,Graduation,Divorced,46310.0,1,0,2012-03-12,99,185,2,88,15,5,14,2,6,1,5,8,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,3,2012,12,43,286,5533,16501,1314,6.651162790697675,128.67441860465115,383.74418604651163,30.558139534883722
1790,2164,24,1960,Master,Together,17144.0,1,1,2014-02-15,96,18,2,19,0,2,6,5,3,0,4,7,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,2,2014,15,1791,9872,314137,580475,49568,5.512004466778336,175.39754327191514,324.106644332775,27.676158570630932
377,231,25,1958,Graduation,Married,65148.0,0,1,2012-11-16,9,460,35,422,33,12,153,2,6,6,7,4,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,11,2012,16,378,2429,74669,148996,11436,6.425925925925926,197.53703703703704,394.16931216931215,30.253968253968253
128,817,35,1987,Graduation,Married,25545.0,1,0,2012-08-09,35,32,1,64,16,12,85,3,2,2,3,6,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,8,2012,9,129,823,22545,46609,3824,6.37984496124031,174.7674418604651,361.31007751937983,29.643410852713178
